caseid,case_reversed,judge_id,year,log_cites
X3JGGO,0,1653.0,1925.0,1.0986122886681098
X3OH3J,0,1034.0,1924.0,1.6094379124341003
X3U0KO,0,2303.0,1925.0,1.791759469228055
X53HAD,0,1764.0,1924.0,
X9VC5V,0,493.0,1925.0,
X9VAJI,0,,,
X9VC5U,0,,,
X3JGJV,0,485.0,1925.0,2.70805020110221
X2S1PK,0,1113.0,1924.0,1.3862943611198906
X53HCS,0,,,
X3IURJ,0,,,
X3JGBE,0,,,
X28DP2,0,1951.0,1926.0,0.6931471805599453
X3U0EH,0,1764.0,1925.0,1.9459101490553132
X3C0H6,0,150.0,1926.0,1.3862943611198906
X3JGK4,0,,,
X3IKGJ,0,1782.0,1925.0,
X3IK3N,0,1434.0,1925.0,1.9459101490553132
X3U0CQ,0,1231.0,1925.0,1.6094379124341003
X9VBDP,0,741.0,1925.0,0.6931471805599453
X3C0EU,0,1119.0,1926.0,2.8903717578961645
X3BD4Q,0,1795.0,1926.0,
X3N6DO,0,677.0,1926.0,
X3N6E3,0,,,
X3N6DN,0,,,
X3N6EL,0,,,
X9VC00,0,2159.0,1925.0,0.6931471805599453
X9VC1K,0,2159.0,1925.0,1.6094379124341003
X3CETE,0,37.0,1926.0,2.302585092994046
X3CEDR,0,1024.0,1926.0,0.6931471805599453
X3BD9F,0,1591.0,1926.0,1.0986122886681098
X3T4NU,0,1345.0,1925.0,3.1780538303479458
X3BCVI,0,246.0,1926.0,0.6931471805599453
X28DB3,0,2003.0,1926.0,2.5649493574615367
X3T4I2,0,,,
X3CM82,0,,,
X3BCBJ,0,,,
X3CF3Q,0,1602.0,1927.0,1.791759469228055
X3D2Q1,0,2159.0,1927.0,1.791759469228055
X3C0HD,0,1591.0,1926.0,0.6931471805599453
X3D2QV,0,1826.0,1927.0,0.6931471805599453
X9UE16,0,34.0,1926.0,1.0986122886681098
X3DC2D,0,524.0,1927.0,3.332204510175204
X3CFAA,0,,,
X3DBMK,0,,,
X28DFA,0,1149.0,1926.0,1.0986122886681098
X9UE4I,0,,,
X9VCC4,0,1591.0,1927.0,1.0986122886681098
X3IJP2,0,,,
X3IJOI,0,,,
X3IJOJ,0,,,
X3IJNV,0,,,
X3EMS9,0,524.0,1928.0,0.6931471805599453
X3LJ34,0,677.0,1928.0,2.0794415416798357
X3EDC7,0,1299.0,1928.0,0.6931471805599453
X3LJCS,0,,,
X3R7HD,0,,,
X3DTQO,0,1034.0,1927.0,1.0986122886681098
X498PJ,0,2021.0,1928.0,0.6931471805599453
X9VB69,0,,,
X3LJ7C,0,2131.0,1928.0,1.0986122886681098
X449FC,0,996.0,1928.0,1.0986122886681098
X3FTBS,0,,,
X3G68K,0,918.0,1929.0,1.0986122886681098
X3GGCC,0,,,
X3FTB1,0,,,
X3GD3B,0,399.0,1929.0,3.4339872044851463
X3GDBM,0,1951.0,1929.0,1.791759469228055
X3GD3G,0,2003.0,1929.0,1.3862943611198906
X3GG8C,0,1470.0,1929.0,1.6094379124341003
X3GGN6,0,1602.0,1929.0,1.6094379124341003
X3GK3L,0,,,
X449LB,0,1602.0,1928.0,1.9459101490553132
X3G5B1,0,,,
X3G5B0,0,,,
X3GCP6,0,2021.0,1929.0,0.6931471805599453
X3GMRF,0,2021.0,1929.0,2.5649493574615367
X3FT28,0,1602.0,1929.0,1.3862943611198906
X3EDJE,0,,,
X3G5UO,0,485.0,1929.0,1.0986122886681098
X3FTNM,0,,,
X3GGH5,0,2131.0,1929.0,1.9459101490553132
X3GK8N,0,2241.0,1929.0,0.6931471805599453
X3GPDN,0,,,
X3GOCU,0,,,
X3GOCH,0,,,
X3GODD,0,,,
X2D76N,0,2003.0,1930.0,2.4849066497880004
X2D6KR,0,1299.0,1930.0,1.791759469228055
X2D6MH,0,,,
X2D6MF,0,,,
X3GPH3,0,,,
X3M0IA,0,524.0,1930.0,1.3862943611198906
X2D6LM,0,,,
X2D6VO,0,511.0,1930.0,2.302585092994046
X3GRH9,0,1231.0,1930.0,2.3978952727983707
X3GRJ1,0,,,
X3GMPD,0,2029.0,1929.0,1.3862943611198906
X3GPGK,0,,,
X2D7C8,0,1299.0,1930.0,1.3862943611198906
X3GPCO,0,1278.0,1930.0,2.302585092994046
X3GOMR,0,,,
X9VBCG,0,,,
X3GPK6,0,1231.0,1930.0,2.3978952727983707
X3OMKJ,0,,,
X2D6MI,0,1299.0,1930.0,2.1972245773362196
X3GGJ1,0,,,
